date,river_max_c,air_max_c,offset_c,month,year
2012-09-13,22.2259998321533,21.4,0.8259998321533004,9,2012
2012-09-14,21.4610004425049,22.7,-1.2389995574950987,9,2012
2012-09-15,20.5790004730225,24.8,-4.220999526977501,9,2012
2012-09-16,21.1749992370605,28.1,-6.925000762939501,9,2012
2012-09-17,22.1539993286133,28.5,-6.346000671386701,9,2012
2012-09-18,22.2259998321533,26.1,-3.8740001678467024,9,2012
2012-09-19,22.25,21.7,0.5500000000000007,9,2012
2012-09-20,20.9599990844727,25.7,-4.7400009155273,9,2012
2012-09-21,21.4130001068115,26.5,-5.086999893188501,9,2012
2012-09-22,21.7950000762939,27.3,-5.504999923706102,9,2012
2012-09-23,21.4370002746582,27.6,-6.162999725341802,9,2012
2012-09-24,21.7479991912842,24.8,-3.0520008087157997,9,2012
2012-09-25,21.7719993591309,23.6,-1.828000640869103,9,2012
2012-09-26,20.5550003051758,22.9,-2.3449996948241996,9,2012
2012-09-27,19.507999420166,20.5,-0.9920005798339986,9,2012
2012-09-28,19.0559997558594,23.0,-3.9440002441406,9,2012
2012-09-29,18.3430004119873,19.1,-0.7569995880127003,9,2012
2012-09-30,17.9150009155273,21.0,-3.084999084472699,9,2012
2012-10-01,18.2950000762939,22.2,-3.9049999237061,10,2012
2012-10-02,18.2240009307861,22.2,-3.9759990692138985,10,2012
2012-10-03,18.1049995422363,23.7,-5.5950004577637,10,2012
2012-10-04,17.9619998931885,22.5,-4.538000106811499,10,2012
2012-10-05,17.9379997253418,23.7,-5.762000274658199,10,2012
2012-10-06,18.2950000762939,22.9,-4.6049999237060995,10,2012
2012-10-07,19.1989994049072,24.0,-4.801000595092798,10,2012
2012-10-08,19.4599990844727,24.4,-4.9400009155273,10,2012
2012-10-09,19.4360008239746,24.7,-5.263999176025401,10,2012
2012-10-10,19.1509990692139,23.9,-4.749000930786099,10,2012
2012-10-11,18.9370002746582,22.0,-3.0629997253418004,10,2012
2012-10-12,18.8659992218018,21.3,-2.4340007781982003,10,2012
2012-10-13,17.9860000610352,19.6,-1.6139999389648025,10,2012
2012-10-14,16.701000213623,18.0,-1.2989997863769993,10,2012
2012-10-15,16.4389991760254,14.7,1.738999176025402,10,2012
2012-10-16,15.4139995574951,17.9,-2.486000442504899,10,2012
2012-10-17,14.960000038147,20.7,-5.739999961853,10,2012
2012-10-18,15.0310001373291,23.0,-7.9689998626709,10,2012
2012-10-19,15.4139995574951,24.9,-9.4860004425049,10,2012
2012-10-20,16.2959995269775,24.0,-7.7040004730225,10,2012
2012-10-21,16.1770000457764,24.0,-7.822999954223601,10,2012
2012-10-22,16.6060009002686,21.5,-4.893999099731399,10,2012
2012-10-23,17.1770000457764,23.8,-6.6229999542236015,10,2012
2012-10-24,17.8430004119873,22.7,-4.856999588012698,10,2012
2012-10-25,17.9150009155273,20.8,-2.8849990844726996,10,2012
2012-10-26,18.056999206543,17.2,0.8569992065430014,10,2012
2012-10-27,18.1760005950928,15.5,2.6760005950927983,10,2012
2012-10-28,15.7720003128052,7.9,7.8720003128052,10,2012
2012-10-29,14.9359998703003,9.9,5.0359998703003,10,2012
2012-10-30,12.9440002441406,14.4,-1.4559997558594002,10,2012
2012-10-31,13.7379999160767,10.1,3.6379999160766996,10,2012
2012-11-01,13.4729995727539,15.5,-2.027000427246101,11,2012
2012-11-02,13.7379999160767,15.8,-2.0620000839233015,11,2012
2012-11-03,13.7620000839233,17.6,-3.8379999160767007,11,2012
2012-11-04,13.8339996337891,17.6,-3.7660003662109016,11,2012
2012-11-05,13.5699996948242,15.4,-1.8300003051758011,11,2012
2012-11-06,13.0880002975464,13.9,-0.8119997024536012,11,2012
2012-11-07,12.6780004501343,13.0,-0.32199954986569956,11,2012
2012-11-08,12.0010004043579,15.7,-3.6989995956421,11,2012
2012-11-09,11.7829999923706,15.3,-3.5170000076294006,11,2012
2012-11-10,11.8800001144409,15.3,-3.4199998855591005,11,2012
2012-11-11,11.9770002365112,15.1,-3.1229997634887994,11,2012
2012-11-12,11.4670000076294,13.6,-2.1329999923706,11,2012
2012-11-13,11.2239999771118,14.4,-3.1760000228882,11,2012
2012-11-14,11.2729997634888,19.0,-7.7270002365112,11,2012
2012-11-15,11.4429998397827,16.7,-5.257000160217299,11,2012
2012-11-16,11.3940000534058,14.7,-3.3059999465941985,11,2012
2012-11-17,11.418999671936,13.6,-2.181000328064,11,2012
2012-11-18,11.6370000839233,15.1,-3.462999916076699,11,2012
2012-11-19,11.9040002822876,15.1,-3.1959997177124,11,2012
2012-11-20,11.9770002365112,15.6,-3.6229997634887994,11,2012
2012-11-21,11.9040002822876,14.4,-2.495999717712401,11,2012
2012-11-22,12.0740003585815,15.2,-3.125999641418499,11,2012
2012-11-23,12.2430000305176,16.0,-3.7569999694824006,11,2012
2012-11-24,12.4849996566772,15.8,-3.315000343322801,11,2012
2012-11-25,12.5089998245239,16.2,-3.6910001754761,11,2012
2012-11-26,13.3769998550415,16.0,-2.6230001449584996,11,2012
2012-11-27,12.798999786377,12.8,-0.0010002136230014003,11,2012
2012-11-28,12.0740003585815,7.9,4.1740003585815,11,2012
2012-11-29,11.1020002365112,8.8,2.3020002365111996,11,2012
2012-11-30,9.80500030517578,6.0,3.8050003051757795,11,2012
2012-12-01,9.23799991607666,6.2,3.03799991607666,12,2012
2012-12-02,8.96500015258789,8.3,0.6650001525878899,12,2012
2012-12-03,8.76700019836426,9.1,-0.33299980163574006,12,2012
2012-12-04,8.79199981689453,10.9,-2.108000183105471,12,2012
2012-12-05,8.66800022125244,9.1,-0.43199977874756,12,2012
2012-12-06,8.44400024414062,6.0,2.4440002441406197,12,2012
2012-12-07,8.14500045776367,3.6,4.5450004577636705,12,2012
2012-12-08,7.82000017166138,6.4,1.4200001716613793,12,2012
2012-12-09,7.56899976730347,5.8,1.7689997673034705,12,2012
2012-12-10,7.69500017166138,8.4,-0.7049998283386207,12,2012
2012-12-11,7.5939998626709,4.3,3.2939998626709004,12,2012
2012-12-12,7.24200010299683,6.9,0.34200010299682937,12,2012
2012-12-13,7.29300022125244,8.2,-0.9069997787475597,12,2012
2012-12-14,8.14500045776367,10.9,-2.7549995422363303,12,2012
2012-12-15,8.17000007629395,14.6,-6.429999923706049,12,2012
2012-12-16,8.39400005340576,13.4,-5.00599994659424,12,2012
2012-12-17,8.49400043487549,12.1,-3.6059995651245096,12,2012
2012-12-18,8.49400043487549,11.7,-3.2059995651245092,12,2012
2012-12-19,8.56799983978271,10.7,-2.1320001602172898,12,2012
2012-12-20,8.54300022125244,10.1,-1.55699977874756,12,2012
2012-12-21,8.66800022125244,10.5,-1.8319997787475604,12,2012
2012-12-22,8.64299964904785,9.9,-1.2570003509521506,12,2012
2012-12-23,8.71700000762939,14.2,-5.48299999237061,12,2012
2012-12-24,8.74199962615967,12.3,-3.558000373840331,12,2012
2012-12-25,8.98999977111816,13.8,-4.81000022888184,12,2012
2012-12-26,9.23799991607666,12.9,-3.66200008392334,12,2012
2012-12-27,9.21300029754639,13.2,-3.986999702453609,12,2012
2012-12-28,9.26200008392334,11.8,-2.537999916076661,12,2012
2012-12-29,9.26200008392334,14.3,-5.037999916076661,12,2012
2012-12-30,9.13899993896484,12.7,-3.561000061035159,12,2012
2012-12-31,9.06400012969971,11.5,-2.4359998703002894,12,2012
2013-01-01,8.94099998474121,10.4,-1.4590000152587912,1,2013
2013-01-02,8.91600036621094,8.6,0.31600036621093963,1,2013
2013-01-03,8.66800022125244,10.0,-1.3319997787475604,1,2013
